model,id,orig,min,max,mean,std
GPT2-medium,10,0.2,0.0,0.8,0.2,0.3098386676965934
EleutherAI-pythia-410m,10,0.0,0.0,0.9,0.1,0.28284271247461906
Falcon-7b-instruct,10,0.8,0.0,0.95,0.538888888888889,0.35572912430182496
GPT2-medium,11,0.0,0.0,0.3,0.0625,0.11110243021644485
EleutherAI-pythia-410m,11,0.75,0.0,0.9,0.37,0.38157568056677826
Falcon-7b-instruct,11,0.8,0.0,0.95,0.765,0.26081602711489954
GPT2-medium,12,0.0,0.0,0.8,0.18,0.26381811916545844
EleutherAI-pythia-410m,12,0.0,0.0,0.95,0.265,0.31468237955119127
Falcon-7b-instruct,12,0.8,0.0,0.8,0.45999999999999996,0.290516780926679
GPT2-medium,13,0.0,0.0,0.9,0.26,0.397994974842648
EleutherAI-pythia-410m,13,0.8,0.0,1.0,0.30000000000000004,0.4055175020198813
Falcon-7b-instruct,13,0.8,0.7,0.8,0.7749999999999999,0.043301270189221974
GPT2-medium,14,0.0,0.0,0.9,0.34,0.35832945734337834
EleutherAI-pythia-410m,14,0.0,0.0,0.5,0.12,0.19899748742132398
Falcon-7b-instruct,14,0.8,0.0,0.9,0.7050000000000001,0.2583118270617898
GPT2-medium,15,0.0,0.0,0.8,0.1,0.24944382578492943
EleutherAI-pythia-410m,15,0.0,0.0,0.8,0.08888888888888889,0.2514157444218836
Falcon-7b-instruct,15,0.2,0.0,0.95,0.35,0.3
GPT2-medium,16,0.0,0.0,0.99,0.259,0.3360491035548228
EleutherAI-pythia-410m,16,0.0,0.0,0.8,0.325,0.30598202561588483
Falcon-7b-instruct,16,0.9,0.8,0.9,0.835,0.044999999999999984
GPT2-medium,17,0.0,0.0,0.5,0.05,0.15000000000000002
EleutherAI-pythia-410m,17,0.0,0.0,0.0,0.0,0.0
Falcon-7b-instruct,17,0.7,0.0,0.85,0.5599999999999999,0.277308492477241
GPT2-medium,18,0.0,0.0,0.0,0.0,0.0
EleutherAI-pythia-410m,18,0.0,0.0,0.8,0.175,0.30598202561588483
Falcon-7b-instruct,18,0.8,0.0,0.9,0.72,0.24413111231467405
GPT2-medium,19,0.0,0.0,0.0,0.0,0.0
EleutherAI-pythia-410m,19,0.0,0.0,0.95,0.20555555555555557,0.38473977095957296
Falcon-7b-instruct,19,0.0,0.0,1.0,0.225,0.3191786333700926
