model,id,orig,min,max,mean,std
GPT2-medium,0,0.0,0.0,0.0,0.0,0.0
EleutherAI-pythia-410m,0,0.0,0.0,0.0,0.0,0.0
Falcon-7b-instruct,0,0.0,0.0,0.0,0.0,0.0
GPT2-medium,1,0.2,0.0,0.5,0.09,0.157797338380595
EleutherAI-pythia-410m,1,0.1,0.0,0.2,0.06666666666666668,0.08164965809277261
Falcon-7b-instruct,1,0.85,0.2,0.85,0.7055555555555555,0.2454524670486058
GPT2-medium,2,0.0,0.0,0.9,0.1,0.28284271247461906
EleutherAI-pythia-410m,2,0.0,0.0,0.8,0.17777777777777778,0.33259176771323923
Falcon-7b-instruct,2,0.0,0.0,0.1,0.0125,0.033071891388307385
GPT2-medium,3,0.0,0.0,0.9,0.13999999999999999,0.29393876913398137
EleutherAI-pythia-410m,3,0.9,0.0,0.9,0.23333333333333334,0.34318767136623335
Falcon-7b-instruct,3,0.0,0.0,0.0,0.0,0.0
GPT2-medium,4,0.75,0.0,0.75,0.18,0.29171904291629647
EleutherAI-pythia-410m,4,0.8,0.0,0.9,0.2777777777777778,0.3937787810370967
Falcon-7b-instruct,4,0.8,0.0,0.8,0.48,0.3919183588453085
GPT2-medium,5,0.0,0.0,0.8,0.18,0.31559467676119
EleutherAI-pythia-410m,5,0.0,0.0,0.2,0.025,0.06614378277661477
Falcon-7b-instruct,5,0.8,0.0,0.85,0.71875,0.27264617638984046
GPT2-medium,6,0.7,0.0,0.7,0.26666666666666666,0.282842712474619
EleutherAI-pythia-410m,6,0.2,0.0,0.9,0.47777777777777775,0.38809442659051074
Falcon-7b-instruct,6,0.9,0.0,0.9,0.6950000000000001,0.3496069221282668
GPT2-medium,7,0.0,0.0,0.0,0.0,0.0
EleutherAI-pythia-410m,7,0.0,0.0,0.8,0.24000000000000005,0.36660605559646725
Falcon-7b-instruct,7,0.0,0.0,0.5,0.12,0.198997487421324
GPT2-medium,8,0.0,0.0,1.0,0.19,0.3590264614203249
EleutherAI-pythia-410m,8,0.0,0.0,0.9,0.11000000000000001,0.27
Falcon-7b-instruct,8,0.8,0.0,0.9,0.6649999999999999,0.2881405906844782
GPT2-medium,9,0.0,0.0,0.3,0.05,0.09219544457292889
EleutherAI-pythia-410m,9,0.0,0.0,0.8,0.08,0.24
Falcon-7b-instruct,9,0.2,0.2,0.7,0.2888888888888889,0.17284832429004493
